year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2005,FORD,TAURUS,SE,Sedan,automatic,1fahp53205a207584,nc,2,93886,silver,gray,michael wayne investments,2200,3700,Tue Jan 20 2015 01:15:00 GMT-0800 (PST),1/20/2015
2005,FORD,FREESTAR,SEL,Minivan,automatic,2fmza52225ba39447,wi,19,165908,gray,tan,landmark credit union,1225,325,Wed Jan 14 2015 02:00:00 GMT-0800 (PST),1/14/2015
2005,FORD,FREESTYLE,SEL,Hatchback,automatic,1fmzk02135ga31406,nc,28,122772,red,tan,manheim statesville,2500,2400,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),1/20/2015
2005,FORD,RANGER,EDGE,Truck,automatic,1ftzr45e05pb10750,mi,25,79792,black,black,automobiles paille inc,7650,7600,Thu Jan 08 2015 09:30:00 GMT-0800 (PST),1/8/2015
2005,FORD,MUSTANG,Premium,Coupe,automatic,1zvft80n655122350,ca,26,95067,green,black,north bakersfield toyota scion,5925,4600,Tue Jan 06 2015 04:00:00 GMT-0800 (PST),1/6/2015
2005,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsx21px5ea19371,pa,21,85391,gray,gray,dodge of paramus inc,12500,10100,Fri Jan 02 2015 09:00:00 GMT-0800 (PST),1/2/2015
2005,FORD,TAURUS,SEL,Sedan,automatic,1fafp56u85a296115,nc,29,89999,beige,beige,michael wayne investments,2400,3400,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2004,FORD,EXPLORER,XLT,SUV,automatic,1fmzu73k64ub33826,oh,24,152826,blue,gray,select remarketing group llc/loan max title,2175,2400,Tue Jan 06 2015 04:00:00 GMT-0800 (PST),1/6/2015
2004,FORD,EXPLORER,XLT,SUV,,1fmzu73k54uc38468,nc,33,131364,blue,gray,dt credit corporation,2800,4300,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2004,FORD,ECONOLINE CARGO,E-250,Van,automatic,1ftne24w04ha63334,nc,25,248138,blue,gray,ari,1200,2100,Tue Jan 06 2015 01:15:00 GMT-0800 (PST),1/6/2015
2004,FORD,F-150,Lariat,Truck,,1ftpw14514kb80687,mn,49,127631,black,tan,jpmorgan chase bank n.a.,9025,10200,Wed Jan 14 2015 02:30:00 GMT-0800 (PST),1/14/2015
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44634f235514,wi,23,76815,gray,gray,braeger chevrolet,3350,4250,Wed Jan 14 2015 02:00:00 GMT-0800 (PST),1/14/2015
