year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha9cr280426,tn,44,22641,—,beige,ford motor credit company llc,12600,13400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha0cr307061,nc,47,31216,black,black,ge fleet services for itself/servicer,12050,12000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),3/3/2015
2012,FORD,FUSION,S,Sedan,automatic,3fahp0ga0cr429775,md,49,34575,white,gray,ford motor credit company llc pd,10950,11300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),3/3/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha9cr307060,nc,36,72863,silver,gray,ge fleet services for itself/servicer,9375,9100,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),3/3/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha7cr312936,ca,41,38720,silver,gray,wheels exchange llc,11600,11200,Wed Mar 04 2015 04:30:00 GMT-0800 (PST),3/4/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0haxcr196549,tn,45,27874,gray,tan,ford motor credit company llc,12400,13700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),3/5/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f29cl302677,wa,29,84266,silver,tan,jpmorgan chase bank n.a.,7325,8500,Wed Mar 04 2015 04:40:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SE,Hatchback,automatic,1fahp3k2xcl252281,ga,41,79300,white,gray,ge fleet services for itself/servicer,8025,8500,Tue Mar 03 2015 05:10:00 GMT-0800 (PST),3/3/2015
2012,FORD,FUSION,SEL,Sedan,automatic,3fahp0ja9cr330574,ny,46,11075,burgundy,black,ford motor credit company llc,15050,14200,Wed Mar 04 2015 01:20:00 GMT-0800 (PST),3/4/2015
2012,FORD,FOCUS,SEL,Sedan,automatic,1fahp3h2xcl307108,nj,45,26466,white,black,ford motor credit company llc,11450,11900,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
